image_id,path_g,path_r,path_z,hdu_g,hdu_r,hdu_z,format_hint,raw_path
manga-10843-9101,/content/drive/MyDrive/Proyecto_Integrador/data/manga-10843-9101_g.fits,/content/drive/MyDrive/Proyecto_Integrador/data/manga-10843-9101_r.fits,/content/drive/MyDrive/Proyecto_Integrador/data/manga-10843-9101_z.fits,,,,per_band,
manga-8446-3703,/content/drive/MyDrive/Proyecto_Integrador/data/manga-8446-3703_g.fits,/content/drive/MyDrive/Proyecto_Integrador/data/manga-8446-3703_r.fits,/content/drive/MyDrive/Proyecto_Integrador/data/manga-8446-3703_z.fits,,,,per_band,
manga-12084-12702,/content/drive/MyDrive/Proyecto_Integrador/data/manga-12084-12702_g.fits,/content/drive/MyDrive/Proyecto_Integrador/data/manga-12084-12702_r.fits,/content/drive/MyDrive/Proyecto_Integrador/data/manga-12084-12702_z.fits,,,,per_band,
manga-11009-6101,/content/drive/MyDrive/Proyecto_Integrador/data/manga-11009-6101_g.fits,/content/drive/MyDrive/Proyecto_Integrador/data/manga-11009-6101_r.fits,/content/drive/MyDrive/Proyecto_Integrador/data/manga-11009-6101_z.fits,,,,per_band,
manga-8250-6104,/content/drive/MyDrive/Proyecto_Integrador/data/manga-8250-6104_g.fits,/content/drive/MyDrive/Proyecto_Integrador/data/manga-8250-6104_r.fits,/content/drive/MyDrive/Proyecto_Integrador/data/manga-8250-6104_z.fits,,,,per_band,
manga-9862-3702,/content/drive/MyDrive/Proyecto_Integrador/data/manga-9862-3702_g.fits,/content/drive/MyDrive/Proyecto_Integrador/data/manga-9862-3702_r.fits,/content/drive/MyDrive/Proyecto_Integrador/data/manga-9862-3702_z.fits,,,,per_band,
manga-11011-1901,/content/drive/MyDrive/Proyecto_Integrador/data/manga-11011-1901_g.fits,/content/drive/MyDrive/Proyecto_Integrador/data/manga-11011-1901_r.fits,/content/drive/MyDrive/Proyecto_Integrador/data/manga-11011-1901_z.fits,,,,per_band,
manga-12673-1901,/content/drive/MyDrive/Proyecto_Integrador/data/manga-12673-1901_g.fits,/content/drive/MyDrive/Proyecto_Integrador/data/manga-12673-1901_r.fits,/content/drive/MyDrive/Proyecto_Integrador/data/manga-12673-1901_z.fits,,,,per_band,
manga-11979-3703,/content/drive/MyDrive/Proyecto_Integrador/data/manga-11979-3703_g.fits,/content/drive/MyDrive/Proyecto_Integrador/data/manga-11979-3703_r.fits,/content/drive/MyDrive/Proyecto_Integrador/data/manga-11979-3703_z.fits,,,,per_band,
manga-9094-3702,/content/drive/MyDrive/Proyecto_Integrador/data/manga-9094-3702_g.fits,/content/drive/MyDrive/Proyecto_Integrador/data/manga-9094-3702_r.fits,/content/drive/MyDrive/Proyecto_Integrador/data/manga-9094-3702_z.fits,,,,per_band,
