image_id,label_bin,Bars,name,objra,objdec
manga-9041-3701,0,0.0,manga-9041-3701,235.540149707,28.2569582583
manga-7968-12701,0,0.0,manga-7968-12701,322.94947,-1.03917
manga-11018-9102,1,0.5,manga-11018-9102,195.596267244,50.4338035271
manga-8569-12703,0,0.0,manga-8569-12703,10.2981965228,15.0527277751
manga-10499-12704,1,0.5,manga-10499-12704,133.194773314,28.9246728351
manga-8937-1902,0,0.0,manga-8937-1902,117.860481432,28.2342173929
manga-10221-6104,1,1.0,manga-10221-6104,124.698297548,24.5374298193
manga-8482-3703,0,0.0,manga-8482-3703,245.52464666,50.0168474993
manga-8612-6101,1,0.5,manga-8612-6101,254.829005993,38.8662970392
manga-12082-6101,0,0.0,manga-12082-6101,38.6572933192,-0.979825698385
manga-12484-9102,0,0.0,manga-12484-9102,196.718241776,33.6101832055
manga-9498-3704,0,0.0,manga-9498-3704,118.098851522,22.7346517456
manga-8598-12702,0,0.0,manga-8598-12702,228.605456832,48.2508787898
manga-11978-6103,0,0.0,manga-11978-6103,250.281829834,22.8235683441
manga-8566-12704,1,0.5,manga-8566-12704,115.66993677,40.9294330892
manga-9894-6103,1,0.5,manga-9894-6103,250.198809457,20.9203892063
manga-8258-6102,0,0.0,manga-8258-6102,167.103856416,43.0129618855
manga-12066-6104,0,0.0,manga-12066-6104,329.267461,-0.223457
manga-10507-6102,0,0.0,manga-10507-6102,176.891257481,47.6969124951
manga-8657-6101,1,1.0,manga-8657-6101,9.39920356323,0.280661865228
manga-12675-6104,0,0.0,manga-12675-6104,250.315558405,34.3580571782
manga-8153-6101,0,0.0,manga-8153-6101,41.0966482687,-0.178547761451
manga-10518-9101,0,0.0,manga-10518-9101,152.066817164,4.9153789579
manga-11946-3702,0,0.0,manga-11946-3702,249.878895147,37.5120939479
manga-9890-9102,0,0.0,manga-9890-9102,232.301414096,29.6396217692
manga-9024-9102,0,0.0,manga-9024-9102,224.007695632,33.0413565224
manga-8137-12703,0,0.0,manga-8137-12703,116.169257474,44.1444094839
manga-11958-12703,0,0.0,manga-11958-12703,208.22522,5.12053
manga-8320-1901,0,0.0,manga-8320-1901,206.144236809,23.7966101545
manga-11759-12702,0,0.0,manga-11759-12702,145.800261215,0.414186573461
manga-8148-9102,0,0.0,manga-8148-9102,117.925702595,27.6073929295
manga-9868-6104,0,0.0,manga-9868-6104,220.498722704,47.0111632402
manga-8716-12701,0,0.0,manga-8716-12701,119.633813077,52.5979639759
manga-8445-3702,0,0.25,manga-8445-3702,204.287715351,35.2478332705
manga-12081-12705,1,0.5,manga-12081-12705,32.3829664085,-0.0272166095628
manga-8461-12701,0,0.0,manga-8461-12701,146.478228917,43.046704506
manga-8461-6101,1,0.5,manga-8461-6101,144.287854484,42.9721228329
manga-8985-1902,1,0.5,manga-8985-1902,205.389007258,32.4326269649
manga-7977-12702,0,0.0,manga-7977-12702,332.238573881,11.8776065621
manga-12679-6101,0,0.0,manga-12679-6101,316.394572608,-7.59214342764
manga-8259-1901,0,0.0,manga-8259-1901,177.971920275,43.3480675175
manga-11967-6104,0,0.0,manga-11967-6104,231.562265557,9.88544435622
manga-10503-12701,1,1.0,manga-10503-12701,158.92625,5.61596
manga-12090-6102,0,0.0,manga-12090-6102,351.176577526,14.6088023672
manga-11744-12705,1,1.0,manga-11744-12705,122.217871845,14.8625909491
manga-8327-6102,0,0.0,manga-8327-6102,205.664653438,45.5843495134
manga-8141-6101,0,0.0,manga-8141-6101,119.165933097,44.1010079182
manga-11006-12703,1,1.0,manga-11006-12703,195.24691982,27.8998323789
manga-9192-12703,0,0.0,manga-9192-12703,46.3265984682,0.215557236472
manga-12512-3701,0,0.0,manga-12512-3701,146.44031,-0.97743
manga-10498-12702,1,0.5,manga-10498-12702,131.292796969,25.9615954263
manga-12514-6104,0,0.0,manga-12514-6104,200.6611155,1.17568528896
manga-9040-12702,0,0.0,manga-9040-12702,243.42849051,26.4912005223
manga-8984-12703,0,0.0,manga-8984-12703,203.93243,27.40942
manga-9001-1901,0,0.0,manga-9001-1901,165.651381038,50.6788154237
manga-8606-1902,0,0.0,manga-8606-1902,256.01730405,36.4373676031
manga-8941-1902,0,0.0,manga-8941-1902,120.311639354,26.3331764922
manga-11011-12702,0,0.0,manga-11011-12702,215.546250309,48.4899265098
manga-9891-12701,0,0.0,manga-9891-12701,229.429446689,27.8953327529
manga-8152-3702,0,0.0,manga-8152-3702,142.40661842,35.4876356716
manga-11980-3704,0,0.0,manga-11980-3704,254.882778451,22.3750197428
manga-10518-12704,0,0.0,manga-10518-12704,152.680678392,6.20039141093
manga-9891-6103,0,0.0,manga-9891-6103,226.990601449,28.8818610359
manga-8603-12704,1,0.5,manga-8603-12704,247.893876589,40.5655973228
manga-8951-6103,0,0.0,manga-8951-6103,193.439519509,27.2496041679
manga-7975-6103,0,0.0,manga-7975-6103,324.799320383,11.9393222318
manga-11982-12703,0,0.0,manga-11982-12703,309.575822683,-5.96877677748
manga-8950-3704,0,0.0,manga-8950-3704,194.331624208,27.6138564494
manga-10519-6103,0,0.0,manga-10519-6103,154.000869673,6.25144337805
manga-8555-1901,0,0.0,manga-8555-1901,243.873718478,44.2912632693
manga-12081-9102,1,0.5,manga-12081-9102,31.7497254165,1.01345479563
manga-9484-9102,1,0.75,manga-9484-9102,120.195154664,35.5294127325
manga-9490-3703,0,0.0,manga-9490-3703,122.296013929,19.6606583249
manga-8334-1901,0,0.0,manga-8334-1901,213.954953718,39.7979162715
