image_id,label_bin,Bars,name,objra,objdec,path_g,path_r,path_z,hdu_g,hdu_r,hdu_z,format_hint,raw_path
manga-9041-3701,0,0.0,manga-9041-3701,235.540149707,28.2569582583,/content/drive/MyDrive/Proyecto_Integrador/data/manga-9041-3701_g.fits,/content/drive/MyDrive/Proyecto_Integrador/data/manga-9041-3701_r.fits,/content/drive/MyDrive/Proyecto_Integrador/data/manga-9041-3701_z.fits,,,,per_band,
manga-7968-12701,0,0.0,manga-7968-12701,322.94947,-1.03917,/content/drive/MyDrive/Proyecto_Integrador/data/manga-7968-12701_g.fits,/content/drive/MyDrive/Proyecto_Integrador/data/manga-7968-12701_r.fits,/content/drive/MyDrive/Proyecto_Integrador/data/manga-7968-12701_z.fits,,,,per_band,
manga-11018-9102,1,0.5,manga-11018-9102,195.596267244,50.4338035271,/content/drive/MyDrive/Proyecto_Integrador/data/manga-11018-9102_g.fits,/content/drive/MyDrive/Proyecto_Integrador/data/manga-11018-9102_r.fits,/content/drive/MyDrive/Proyecto_Integrador/data/manga-11018-9102_z.fits,,,,per_band,
manga-8569-12703,0,0.0,manga-8569-12703,10.2981965228,15.0527277751,/content/drive/MyDrive/Proyecto_Integrador/data/manga-8569-12703_g.fits,/content/drive/MyDrive/Proyecto_Integrador/data/manga-8569-12703_r.fits,/content/drive/MyDrive/Proyecto_Integrador/data/manga-8569-12703_z.fits,,,,per_band,
manga-10499-12704,1,0.5,manga-10499-12704,133.194773314,28.9246728351,/content/drive/MyDrive/Proyecto_Integrador/data/manga-10499-12704_g.fits,/content/drive/MyDrive/Proyecto_Integrador/data/manga-10499-12704_r.fits,/content/drive/MyDrive/Proyecto_Integrador/data/manga-10499-12704_z.fits,,,,per_band,
manga-8937-1902,0,0.0,manga-8937-1902,117.860481432,28.2342173929,/content/drive/MyDrive/Proyecto_Integrador/data/manga-8937-1902_g.fits,/content/drive/MyDrive/Proyecto_Integrador/data/manga-8937-1902_r.fits,/content/drive/MyDrive/Proyecto_Integrador/data/manga-8937-1902_z.fits,,,,per_band,
manga-10221-6104,1,1.0,manga-10221-6104,124.698297548,24.5374298193,/content/drive/MyDrive/Proyecto_Integrador/data/manga-10221-6104_g.fits,/content/drive/MyDrive/Proyecto_Integrador/data/manga-10221-6104_r.fits,/content/drive/MyDrive/Proyecto_Integrador/data/manga-10221-6104_z.fits,,,,per_band,
manga-8482-3703,0,0.0,manga-8482-3703,245.52464666,50.0168474993,/content/drive/MyDrive/Proyecto_Integrador/data/manga-8482-3703_g.fits,/content/drive/MyDrive/Proyecto_Integrador/data/manga-8482-3703_r.fits,/content/drive/MyDrive/Proyecto_Integrador/data/manga-8482-3703_z.fits,,,,per_band,
manga-8612-6101,1,0.5,manga-8612-6101,254.829005993,38.8662970392,/content/drive/MyDrive/Proyecto_Integrador/data/manga-8612-6101_g.fits,/content/drive/MyDrive/Proyecto_Integrador/data/manga-8612-6101_r.fits,/content/drive/MyDrive/Proyecto_Integrador/data/manga-8612-6101_z.fits,,,,per_band,
manga-12082-6101,0,0.0,manga-12082-6101,38.6572933192,-0.979825698385,/content/drive/MyDrive/Proyecto_Integrador/data/manga-12082-6101_g.fits,/content/drive/MyDrive/Proyecto_Integrador/data/manga-12082-6101_r.fits,/content/drive/MyDrive/Proyecto_Integrador/data/manga-12082-6101_z.fits,,,,per_band,
manga-12484-9102,0,0.0,manga-12484-9102,196.718241776,33.6101832055,/content/drive/MyDrive/Proyecto_Integrador/data/manga-12484-9102_g.fits,/content/drive/MyDrive/Proyecto_Integrador/data/manga-12484-9102_r.fits,/content/drive/MyDrive/Proyecto_Integrador/data/manga-12484-9102_z.fits,,,,per_band,
manga-9498-3704,0,0.0,manga-9498-3704,118.098851522,22.7346517456,/content/drive/MyDrive/Proyecto_Integrador/data/manga-9498-3704_g.fits,/content/drive/MyDrive/Proyecto_Integrador/data/manga-9498-3704_r.fits,/content/drive/MyDrive/Proyecto_Integrador/data/manga-9498-3704_z.fits,,,,per_band,
manga-8598-12702,0,0.0,manga-8598-12702,228.605456832,48.2508787898,/content/drive/MyDrive/Proyecto_Integrador/data/manga-8598-12702_g.fits,/content/drive/MyDrive/Proyecto_Integrador/data/manga-8598-12702_r.fits,/content/drive/MyDrive/Proyecto_Integrador/data/manga-8598-12702_z.fits,,,,per_band,
manga-11978-6103,0,0.0,manga-11978-6103,250.281829834,22.8235683441,/content/drive/MyDrive/Proyecto_Integrador/data/manga-11978-6103_g.fits,/content/drive/MyDrive/Proyecto_Integrador/data/manga-11978-6103_r.fits,/content/drive/MyDrive/Proyecto_Integrador/data/manga-11978-6103_z.fits,,,,per_band,
manga-8566-12704,1,0.5,manga-8566-12704,115.66993677,40.9294330892,/content/drive/MyDrive/Proyecto_Integrador/data/manga-8566-12704_g.fits,/content/drive/MyDrive/Proyecto_Integrador/data/manga-8566-12704_r.fits,/content/drive/MyDrive/Proyecto_Integrador/data/manga-8566-12704_z.fits,,,,per_band,
manga-9894-6103,1,0.5,manga-9894-6103,250.198809457,20.9203892063,/content/drive/MyDrive/Proyecto_Integrador/data/manga-9894-6103_g.fits,/content/drive/MyDrive/Proyecto_Integrador/data/manga-9894-6103_r.fits,/content/drive/MyDrive/Proyecto_Integrador/data/manga-9894-6103_z.fits,,,,per_band,
manga-8258-6102,0,0.0,manga-8258-6102,167.103856416,43.0129618855,/content/drive/MyDrive/Proyecto_Integrador/data/manga-8258-6102_g.fits,/content/drive/MyDrive/Proyecto_Integrador/data/manga-8258-6102_r.fits,/content/drive/MyDrive/Proyecto_Integrador/data/manga-8258-6102_z.fits,,,,per_band,
manga-12066-6104,0,0.0,manga-12066-6104,329.267461,-0.223457,/content/drive/MyDrive/Proyecto_Integrador/data/manga-12066-6104_g.fits,/content/drive/MyDrive/Proyecto_Integrador/data/manga-12066-6104_r.fits,/content/drive/MyDrive/Proyecto_Integrador/data/manga-12066-6104_z.fits,,,,per_band,
manga-10507-6102,0,0.0,manga-10507-6102,176.891257481,47.6969124951,/content/drive/MyDrive/Proyecto_Integrador/data/manga-10507-6102_g.fits,/content/drive/MyDrive/Proyecto_Integrador/data/manga-10507-6102_r.fits,/content/drive/MyDrive/Proyecto_Integrador/data/manga-10507-6102_z.fits,,,,per_band,
manga-8657-6101,1,1.0,manga-8657-6101,9.39920356323,0.280661865228,/content/drive/MyDrive/Proyecto_Integrador/data/manga-8657-6101_g.fits,/content/drive/MyDrive/Proyecto_Integrador/data/manga-8657-6101_r.fits,/content/drive/MyDrive/Proyecto_Integrador/data/manga-8657-6101_z.fits,,,,per_band,
